의소코드	1단계 대화
step1-1-1;Why don’t we go to the movies tomorrow?
step1-1-2;I’d love to. How about 3 o’clock?
step1-2-1;What’s your favorite subject?
step1-2-2;My favorite subject is English.
step1-3-1;What are you interested in?
step1-3-2;I’m interested in basketball.
step1-4-1;What is your opinion about social media?
step1-4-2;It’s good for relationships.
step1-5-1;I wonder if she likes the scarf.
step1-5-2;I think she will.
step1-6-1;What is Kimbap?
step1-6-2;It is Korea’s most popular on-the-go meal.
step1-7-1;Do you know how to use this kiosk?
step1-7-2;Yes, I do.
step1-8-1;I feel tired these days.
step1-8-2;I think you should sleep early.
step1-9-1;Can you open the door?
step1-9-2;No problem.
step1-10-1;Can you stand on one leg?
step1-10-2;Yes, I can.
step1-11-1;Which do you prefer, summer or winter?
step1-11-2;I prefer winter.
step1-12-1;Why do you want to join the dance club?
step1-12-2;Because I want to practice dancing.
step1-13-1;Are you going to have a birthday party this Saturday?
step1-13-2;Yes, I am looking forward to it.
step1-14-1;What are you going to do this weekend?
step1-14-2;I am going to play soccer with my friends.
step1-15-1;How can I get to the museum?
step1-15-2;Go straight two blocks and turn right.
step1-16-1;Would you like some fried chicken?
step1-16-2;Yes, please. Wow, it’s really good!
step1-17-1;Do you have any plans for this weekend?
step1-17-2;I will see a movie. I’m looking forward to it.
step1-18-1;How are you doing?
step1-18-2;<I’m great|Not bad|Not good>.
step1-20-1;Do you mind if I drink this water?
step1-20-2;Not at all. Sure, go ahead.
step1-21-1;Have you ever been to Busan?
step1-21-2;No, I haven’t.
step1-22-1;May I take pictures in the museum?
step1-22-2;You must not take pictures here.
step1-23-1;What surprised you at the trip?
step1-23-2;I was surprised by nature.
step1-24-1;What should I bring on a sports day?
step1-24-2;Don’t forget to bring water.
step1-25-1;Can I ask you to call me back?
step1-25-2;Okay. I’ll call you back later.
step1-26-1;What should I do?
step1-26-2;Why don’t you write a letter for her?
step1-27-1;What do you think about my backpack?
step1-27-2;I think its color is beautiful.
step1-28-1;Can I ride a bike to school?
step1-28-2;No, you can’t.
step1-29-1;What’s going on?
step1-29-2;I’m looking forward to going camping.
step1-30-1;It will rain soon.
step1-30-2;Make sure you take an umbrella.
step1-31-1;How do you like this backpack?
step1-31-2;I like it. I like its design.
step1-32-1;What’s the matter?
step1-32-2;I am worried about my presentation.
step1-33-1;What did you do last weekend?
step1-33-2;I went shopping with my friends.
step1-34-1;I am going to enter a singing contest.
step1-34-2;I will keep my fingers crossed for you.
step1-35-1;I think math is really fun.
step1-35-2;Well, I don’t think so. It is so hard.
step1-36-1;In my opinion, Mr. Yoon is the best teacher in our school.
step1-36-2;<I agree with you|I don’t agree with you>.
step1-38-1;Hi, I’m <John|Park|Minho>. I’m in first grade.
step1-38-2;<Nice to meet yo|Glad to meet you>.
step1-40-1;What are you going to talk about?
step1-40-2;I’d like to tell you about our school.
step1-41-1;Can you recommend something from the menu?
step1-41-2;I recommend that you try tomato pasta.
step1-42-1;Is it going to rain?
step1-42-2;Yes. I’m sure it’s going to rain soon.
step1-43-1;Can I help you with cleaning?
step1-43-2;I appreciate your help.
step1-45-1;Can you tell me how to cook ramyeon?
step1-45-2;First, boil the water.
step1-46-1;How do you like the shirt?
step1-46-2;I’m not really happy with it. It’s too small for me.
step1-47-1;What time and where should we meet?
step1-47-2;Let’s meet in front of the movie theater at 10 o’clock.
step1-48-1;What does she look like?
step1-48-2;She is tall and has short hair.
step1-49-1;You have to follow our school rules.
step1-49-2;Okay, I will.
step1-50-1;You look upset. What happened?
step1-50-2;I’m upset with my friend. She broke her promise.
step1-51-1;What should I do to become a chef?
step1-51-2;It is important to develop cooking skills.
step1-53-1;Thanks for your understanding.
step1-53-2;You’re welcome.
step1-54-1;How are you feeling?
step1-54-2;I feel excited.
step1-55-1;How’s the weather in New York?
step1-55-2;It is cold and snowy.
step1-56-1;Who is she?
step1-56-2;This is my sister.
step1-57-1;You should be nice to your friend.
step1-57-2;Okay, I will|I’m sorry. I see it now.
step1-59-1;I heard that it might rain.
step1-59-2;Then, I should bring my umbrella tomorrow.
step1-60-1;How do I use this vending machine?
step1-60-2;First, put the money in. Second, choose the drink. Third, push the button.
step1-61-1;Where can I find the library?
step1-61-2;You can find it on the first floor.
step1-62-1;What will you do for the earth?
step1-62-2;I will reduce trash.
step1-63-1;What kind of music do you listen to?
step1-63-2;I listen to K-pop.
step1-64-1;Where is my phone?
step1-64-2;There is a phone on the desk.
step1-65-1;Congratulations on your birthday.
step1-65-2;Thanks a lot.
step1-66-1;What is she doing?
step1-66-2;She is walking the dog.
step1-67-1;May I bring my dog on the bus?
step1-67-2;<Yes, you may|No, you may not>.
step1-68-1;You like playing soccer, don’t you?
step1-68-2;<Yes, I do|No, I don’t>.
step1-69-1;I should have worn my mittens.
step1-69-2;I should have worn my jacket today.
step1-70-1;How much is this headphone?
step1-70-2;It’s 200,000 won.
step1-72-1;I want to sing well, but it’s so hard.
step1-72-2;Don’t give up. You can do it. Keep trying.
step1-76-1;How much is this shirt?
step1-76-2;It’s 10 dollars.
step1-77-1;What did the news say?
step1-77-2;The news said the city hall will be closed for 2 weeks.
step1-78-1;Which is bigger, Korea or China?
step1-78-2;China is bigger than Korea.
step1-79-1;How often do you go to the library?
step1-79-2;I go to the library three times a week.
step1-80-1;Do you find it helpful to read English newspapers?
step1-80-2;Yes, it helps me learn English.
step1-81-1;How long does it take to go to school?
step1-81-2;It takes about ten minutes.
step1-84-1;What are you planning to do on vacation?
step1-84-2;I’m planning to study math.
step1-85-1;What do you usually do in your free time?
step1-85-2;I usually play games.
step1-86-1;I’m afraid that’s not right.
step1-86-2;I didn’t know that.
step1-87-1;What do you want for lunch?
step1-87-2;I want a hamburger.
step1-88-1;What do you want me to do?
step1-88-2;Please put the name on them.
step1-89-1;What would you like to order?
step1-89-2;I’d like to order two chocolate waffles.
step1-90-1;What’s your plan for this summer?
step1-90-2;I’m thinking of reading some books.
step1-91-1;Where is Gyeongbokgung?
step1-91-2;It is in Seoul.
step1-92-1;What does the gesture mean?
step1-92-2;It means ‘hello’ or ‘goodbye’.
step1-94-1;What do you want to be in the future?
step1-94-2;I want to be a doctor.
step1-96-1;This is Minsu. Is Amy there?
step1-96-2;<This is her speaking|She’s not here>.
step1-97-1;Can I try this jacket on?
step1-97-2;<Sure. Go ahead|I’m afraid you can’t>.
step1-98-1; What [sport] do you like [the most]?
step1-98-2; It’s English|I like English the most.
step1-99-1;Thank you for the help.
step1-99-2;<Don’t mention it|No worries|It’s nothing>.
step1-100-1;Do you want to go to the concert with me?
step1-100-2;I’d love to, but I can’t.
step1-109-1;I’d like to exchange this shirt.
step1-109-2;I want to exchange it for a blue one.
step1-114-1;How was the movie?
step1-114-2;It was very fun.
step1-117-1;Are there any other drinks?
step1-117-2;<Yes. We have lemonade, too|Sorry, these are the only two we have>.
step1-119-1;Have you heard about a new restaurant?
step1-119-2;No, I haven’t.
step1-127-1;Is it possible to use paper cups in the cafe?
step1-127-2;You’re not supposed to use paper cups.
step1-130-1;Who is the man?
step1-130-2;He is my English teacher, Mr. Kim.
step1-141-1;What is he like?
step1-141-2;He is outgoing.
step1-146-1;When were you born?
step1-146-2;I was born in 2010.
step1-159-1;What is it for?
step1-159-2;It is for brushing teeth.
step1-171-1;I wish I could see Earth from the moon with my own eyes.
step1-171-2;Me, too. It will be so cool!
step1-176-1;What are you good at?
step1-176-2;I am good at drawing pictures.
step1-181-1;What’s wrong?
step1-181-2;I have a cold.
step1-185-1;Can I help you?
step1-185-2;I am looking for a pair of running shoes.
step1-188-1;What would you do if you were me?
step1-188-2;If I were you, I would be nicer to my family.
